# blocks=4 input_bits=1536 out_bits=256 samples=1000
rounds,avg_ratio,max_dev
1,0.49994,0.07100
2,0.50005,0.07200
3,0.50001,0.07700
4,0.50002,0.08000
5,0.49999,0.07800
6,0.50004,0.08000
7,0.50004,0.08000
8,0.49998,0.07700
9,0.50000,0.07700
10,0.50000,0.07400
