# blocks=1 input_bits=384 out_bits=256 samples=1000
rounds,avg_ratio,max_dev
1,0.50003,0.07400
2,0.49997,0.06700
3,0.49999,0.07700
4,0.50007,0.07900
5,0.50008,0.07500
6,0.49995,0.07200
7,0.50008,0.06600
8,0.50003,0.07300
9,0.50004,0.07300
10,0.50005,0.06600
