flipped_bits,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,2
88,3
89,5
90,9
91,20
92,32
93,58
94,82
95,131
96,229
97,377
98,639
99,1085
100,1624
101,2507
102,3917
103,5836
104,8463
105,12313
106,17252
107,24401
108,33756
109,45848
110,60927
111,80683
112,104059
113,132624
114,166552
115,204441
116,249814
117,297385
118,351003
119,408432
120,464399
121,522266
122,578899
123,631034
124,675154
125,713045
126,741814
127,760310
128,764124
129,761209
130,742270
131,713767
132,674483
133,628298
134,577929
135,521470
136,464848
137,407176
138,349776
139,298680
140,249354
141,204763
142,165717
143,132294
144,103807
145,80688
146,61038
147,45254
148,33282
149,24117
150,17234
151,12174
152,8422
153,5772
154,3813
155,2493
156,1668
157,1017
158,660
159,417
160,245
161,118
162,96
163,43
164,21
165,16
166,2
167,6
168,6
169,0
170,2
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
