# blocks=8 input_bits=3072 out_bits=256 samples=1000
rounds,avg_ratio,max_dev
1,0.50000,0.07500
2,0.50000,0.09000
3,0.50003,0.08000
4,0.50001,0.07200
5,0.50001,0.08200
6,0.50000,0.07700
7,0.50002,0.08400
8,0.50001,0.07600
